timestep, id, lat, long, angle, speed, RSSI, throughput
0.00, 1, 37.967331, 23.774532, 229.707852, 0.000000, 96.27594006882727, 48.137970034413634
0.00, 2, 37.971738, 23.758638, 38.291786, 0.000000, 36.09543680764696, 18.04771840382348
1.00, 1, 37.967326, 23.774522, 230.554332, 1.000000, 67.91048887771775, 33.95524443885888
1.00, 2, 37.971745, 23.758645, 38.291786, 1.000000, 35.897764975474914, 17.948882487737457
2.00, 1, 37.967316, 23.774503, 233.076683, 2.000000, 34.864422664615304, 17.432211332307652
2.00, 2, 37.971759, 23.758660, 38.291786, 2.000000, 51.21318862603242, 25.606594313016213
3.00, 1, 37.967302, 23.774474, 236.010480, 3.000000, 73.84129271026279, 36.920646355131396
3.00, 2, 37.971780, 23.758682, 38.291786, 3.000000, 47.581110656858456, 23.790555328429228
4.00, 1, 37.967285, 23.774434, 239.881328, 4.000000, 56.95358608589244, 28.47679304294622
4.00, 2, 37.971807, 23.758712, 39.779928, 4.000000, 39.426648534935396, 19.713324267467698
5.00, 1, 37.967269, 23.774381, 247.327997, 5.000000, 63.32794446376101, 31.663972231880503
5.00, 2, 37.971833, 23.758758, 52.952756, 5.000000, 93.98914747694532, 46.99457373847266
6.00, 1, 37.967254, 23.774317, 251.966352, 5.893475, 75.14618515704458, 37.57309257852229
6.00, 2, 37.971855, 23.758809, 59.911289, 5.216981, 73.25464329727285, 36.627321648636425
7.00, 1, 37.967243, 23.774251, 256.747542, 5.893475, 37.45555858073021, 18.727779290365106
7.00, 2, 37.971866, 23.758867, 74.824350, 5.216981, 55.41114578190751, 27.705572890953757
8.00, 1, 37.967235, 23.774185, 259.416012, 5.893475, 59.02976428177778, 29.514882140888886
8.00, 2, 37.971868, 23.758926, 85.786237, 5.216981, 48.930991374520026, 24.465495687260013
9.00, 1, 37.967228, 23.774119, 260.844296, 5.893475, 40.18275240647948, 20.09137620323974
9.00, 2, 37.971860, 23.758985, 98.560890, 5.216981, 62.81960201731464, 31.40980100865732
10.00, 1, 37.967221, 23.774052, 260.844296, 5.893475, 76.2000986385414, 38.1000493192707
10.00, 2, 37.971850, 23.759043, 99.832226, 5.216981, 67.96339462006185, 33.981697310030924
11.00, 1, 37.967214, 23.773986, 260.844296, 5.893475, 50.108079632497926, 25.054039816248963
11.00, 2, 37.971835, 23.759099, 106.824175, 5.216981, 44.63888771564262, 22.31944385782131
12.00, 1, 37.967207, 23.773919, 260.844296, 5.893475, 28.20161002805749, 14.100805014028744
12.00, 2, 37.971820, 23.759155, 106.824175, 5.216981, 62.92366374020736, 31.46183187010368
13.00, 1, 37.967200, 23.773853, 260.844296, 5.893475, 43.11271061312303, 21.556355306561514
13.00, 2, 37.971805, 23.759212, 106.824175, 5.216981, 79.89807543416914, 39.94903771708457
14.00, 1, 37.967193, 23.773786, 260.844296, 5.893475, 92.27786145256731, 46.138930726283654
14.00, 2, 37.971791, 23.759268, 106.824175, 5.216981, 98.33780362128124, 49.16890181064062
15.00, 1, 37.967187, 23.773720, 260.844296, 5.893475, 78.09868962147337, 39.049344810736685
15.00, 2, 37.971776, 23.759324, 106.824175, 5.216981, 31.20312967767761, 15.601564838838804
16.00, 1, 37.967179, 23.773654, 259.560752, 5.893475, 63.93058694003675, 31.965293470018374
16.00, 2, 37.971761, 23.759380, 106.824175, 5.216981, 53.13704716270363, 26.568523581351815
17.00, 1, 37.967170, 23.773587, 259.114473, 5.893475, 80.51771067606052, 40.25885533803026
17.00, 2, 37.971746, 23.759437, 106.843541, 5.216981, 52.05671277333212, 26.02835638666606
18.00, 1, 37.967162, 23.773521, 259.114473, 5.893475, 54.48076087095374, 27.24038043547687
18.00, 2, 37.971731, 23.759493, 107.072269, 5.216981, 90.02869550036091, 45.014347750180455
19.00, 1, 37.967153, 23.773455, 259.114473, 5.893475, 60.38377913414561, 30.191889567072806
19.00, 2, 37.971716, 23.759549, 107.072269, 5.216981, 67.40457341349345, 33.702286706746726
20.00, 1, 37.967145, 23.773389, 259.114473, 5.893475, 62.94277223859165, 31.471386119295826
20.00, 2, 37.971701, 23.759605, 106.464367, 5.216981, 44.77324025552611, 22.386620127763056
21.00, 1, 37.967134, 23.773323, 256.550297, 5.893475, 46.49374833109031, 23.246874165545155
21.00, 2, 37.971687, 23.759662, 105.698069, 5.216981, 42.90806097652699, 21.454030488263495
22.00, 1, 37.967123, 23.773257, 256.550297, 5.893475, 61.1534904911595, 30.57674524557975
22.00, 2, 37.971673, 23.759719, 105.698069, 5.216981, 64.47103325241046, 32.23551662620523
23.00, 1, 37.967113, 23.773192, 256.550297, 5.893475, 47.9600275920689, 23.98001379603445
23.00, 2, 37.971659, 23.759775, 105.698069, 5.216981, 64.6741124037804, 32.3370562018902
24.00, 1, 37.967102, 23.773126, 257.059611, 5.893475, 90.09381409133013, 45.046907045665066
24.00, 2, 37.971645, 23.759832, 105.698069, 5.216981, 78.87795588655102, 39.43897794327551
25.00, 1, 37.967096, 23.773060, 261.427265, 5.893475, 39.39236388137411, 19.696181940687055
25.00, 2, 37.971629, 23.759888, 107.450208, 5.216981, 82.44421910632019, 41.222109553160095
26.00, 1, 37.967090, 23.772993, 261.427265, 5.893475, 79.29235315658431, 39.646176578292156
26.00, 2, 37.971612, 23.759943, 109.674099, 5.216981, 93.72126018989965, 46.860630094949826
27.00, 1, 37.967083, 23.772926, 261.427265, 5.893475, 65.11972866924103, 32.559864334620514
27.00, 2, 37.971595, 23.759999, 109.674099, 5.216981, 58.35509909926464, 29.17754954963232
28.00, 1, 37.967078, 23.772860, 262.344767, 5.893475, 68.92884322877492, 34.46442161438746
28.00, 2, 37.971578, 23.760054, 109.674099, 5.216981, 63.15257662947753, 31.576288314738765
29.00, 1, 37.967073, 23.772793, 263.265631, 5.893475, 66.0339316175572, 33.0169658087786
29.00, 2, 37.971559, 23.760108, 111.925978, 5.216981, 34.21604967814626, 17.10802483907313
30.00, 1, 37.967068, 23.772726, 263.265631, 5.893475, 71.8083496397961, 35.90417481989805
30.00, 2, 37.971540, 23.760162, 112.446075, 5.216981, 60.11008172946533, 30.055040864732664
31.00, 1, 37.967065, 23.772659, 264.469893, 5.893475, 29.86795310275727, 14.933976551378636
31.00, 2, 37.971521, 23.760217, 112.446075, 5.216981, 32.89922328535428, 16.44961164267714
32.00, 1, 37.967065, 23.772592, 268.874545, 5.893475, 54.75254600394985, 27.376273001974926
32.00, 2, 37.971502, 23.760271, 112.446075, 5.216981, 64.7585238800933, 32.37926194004665
33.00, 1, 37.967066, 23.772525, 268.874545, 5.893475, 94.01396173234255, 47.006980866171276
33.00, 2, 37.971479, 23.760323, 116.928266, 5.216981, 85.01493398486892, 42.50746699243446
34.00, 1, 37.967066, 23.772458, 268.874545, 5.893475, 34.03837766852441, 17.019188834262206
34.00, 2, 37.971456, 23.760375, 117.866134, 5.216981, 71.96358746624243, 35.981793733121215
35.00, 1, 37.967068, 23.772391, 269.918472, 5.893475, 84.15520923533008, 42.07760461766504
35.00, 2, 37.971433, 23.760426, 117.866134, 5.216981, 65.64849017763744, 32.82424508881872
36.00, 1, 37.967069, 23.772324, 270.257425, 5.893475, 60.854116910509234, 30.427058455254617
36.00, 2, 37.971410, 23.760478, 117.866134, 5.216981, 39.19793259099498, 19.59896629549749
37.00, 1, 37.967071, 23.772257, 270.257425, 5.893475, 66.99173233147829, 33.495866165739145
37.00, 2, 37.971386, 23.760529, 117.866134, 5.216981, 79.90730187712346, 39.95365093856173
38.00, 1, 37.967077, 23.772191, 274.787469, 5.893475, 56.15177201071011, 28.075886005355056
38.00, 2, 37.971363, 23.760581, 117.866134, 5.216981, 65.60721463484246, 32.80360731742123
39.00, 1, 37.967083, 23.772124, 274.787469, 5.893475, 56.035128935173915, 28.017564467586958
39.00, 2, 37.971340, 23.760633, 117.866134, 5.216981, 81.6644807568244, 40.8322403784122
40.00, 1, 37.967090, 23.772057, 276.072456, 5.893475, 86.78141863017235, 43.39070931508618
40.00, 2, 37.971317, 23.760684, 117.880608, 5.216981, 67.405699483111, 33.7028497415555
40.00, 3, 37.971738, 23.758638, 38.291786, 0.000000, 58.14768346020234, 29.07384173010117
41.00, 1, 37.967098, 23.771991, 276.159483, 5.893475, 70.9090819733672, 35.4545409866836
41.00, 2, 37.971294, 23.760736, 118.018841, 5.216981, 71.44924902102717, 35.724624510513586
41.00, 3, 37.971745, 23.758645, 38.291786, 1.000000, 37.5126993729877, 18.75634968649385
42.00, 1, 37.967107, 23.771925, 277.963524, 5.893475, 71.28921063202155, 35.644605316010775
42.00, 2, 37.971270, 23.760787, 118.018841, 5.216981, 59.27421409501038, 29.63710704750519
42.00, 3, 37.971759, 23.758660, 38.291786, 2.000000, 53.542712163432945, 26.771356081716473
43.00, 1, 37.967116, 23.771859, 278.448069, 5.893475, 84.25979968924764, 42.12989984462382
43.00, 2, 37.971247, 23.760839, 118.018841, 5.216981, 54.09966376136387, 27.049831880681936
43.00, 3, 37.971780, 23.758682, 38.291786, 3.000000, 26.84869450316532, 13.424347251582661
44.00, 1, 37.967127, 23.771794, 280.885527, 5.893475, 61.484540528258634, 30.742270264129317
44.00, 2, 37.971224, 23.760890, 118.018841, 5.216981, 71.24324885772373, 35.621624428861864
44.00, 3, 37.971807, 23.758712, 39.779928, 4.000000, 40.81088177411818, 20.40544088705909
45.00, 1, 37.967139, 23.771728, 280.885527, 5.893475, 21.876226744537377, 10.938113372268688
45.00, 2, 37.971200, 23.760942, 118.626303, 5.216981, 37.33797512107031, 18.668987560535154
45.00, 3, 37.971833, 23.758758, 52.952756, 5.000000, 39.951882833219315, 19.975941416609658
46.00, 1, 37.967151, 23.771663, 280.885527, 5.893475, 61.539474070059626, 30.769737035029816
46.00, 2, 37.971176, 23.760992, 119.495421, 5.216981, 26.953379277178236, 13.476689638589118
46.00, 3, 37.971856, 23.758814, 61.591954, 5.617784, 40.03536955773046, 20.01768477886523
47.00, 1, 37.967163, 23.771597, 281.935103, 5.893475, 51.1884091333346, 25.5942045666673
47.00, 2, 37.971151, 23.761043, 119.495421, 5.216981, 57.20552250272449, 28.602761251362246
47.00, 3, 37.971866, 23.758876, 76.435092, 5.617784, 33.18623628174752, 16.59311814087376
48.00, 1, 37.967177, 23.771533, 284.097991, 5.893475, 75.66788549759232, 37.83394274879616
48.00, 2, 37.971127, 23.761094, 119.495421, 5.216981, 37.21352720332731, 18.606763601663655
48.00, 3, 37.971866, 23.758940, 89.344252, 5.617784, 48.77631267422039, 24.388156337110196
49.00, 1, 37.967192, 23.771468, 284.097991, 5.893475, 63.03632434218202, 31.518162171091006
49.00, 2, 37.971103, 23.761145, 119.495421, 5.216981, 55.15817461715136, 27.57908730857568
49.00, 3, 37.971857, 23.759003, 98.560890, 5.617784, 92.0706365865321, 46.03531829326605
50.00, 1, 37.967206, 23.771404, 284.097991, 5.893475, 80.41746990968996, 40.20873495484498
50.00, 2, 37.971078, 23.761196, 119.495421, 5.216981, 50.005356091995985, 25.002678045997996
50.00, 3, 37.971845, 23.759064, 103.147546, 5.617784, 55.971759549122005, 27.985879774561003
51.00, 1, 37.967221, 23.771339, 284.034967, 5.893475, 59.897959803680045, 29.948979901840023
51.00, 2, 37.971054, 23.761246, 119.495421, 5.216981, 62.092734361311635, 31.046367180655814
51.00, 3, 37.971828, 23.759125, 106.824175, 5.617784, 37.49940305404273, 18.749701527021365
52.00, 1, 37.967235, 23.771275, 283.401397, 5.893475, 62.39821773645979, 31.199108868229896
