16125 -- turns into : 6 - strength solo/opposite : 1 , strenght mutual/opposite : 1
16128 -- turns into : 9 - strength solo : 0 , strenght solo/opposite : 0.0
16131 -- turns into : 3 - strength solo/opposite : 1 , strenght mutual/opposite : 2
16134 -- turns into : 6 - strength solo/opposite : 1 , strenght mutual/opposite : 2
16137 -- turns into : 9 - strength solo : 0 , strenght solo/opposite : 0.0
16140 -- turns into : 3 - strength solo/opposite : 0 , strenght mutual/opposite : 1
16143 -- turns into : 6 - strength solo/opposite : 1 , strenght mutual/opposite : 2
16146 -- turns into : 9 - strength solo : 0 , strenght solo/opposite : 0.0
16149 -- turns into : 3 - strength solo/opposite : 0.0 , strenght mutual/opposite : 1.0
16152 -- turns into : 6 - strength solo/opposite : 1 , strenght mutual/opposite : 1
16155 -- turns into : 9 - strength solo : 0 , strenght solo/opposite : 0.0
16158 -- turns into : 3 - strength solo/opposite : 0 , strenght mutual/opposite : 1
16161 -- turns into : 6 - strength solo/opposite : 2 , strenght mutual/opposite : 2
16164 -- turns into : 9 - strength solo : 0 , strenght solo/opposite : 0.0
16167 -- turns into : 3 - strength solo/opposite : 0 , strenght mutual/opposite : 2
16170 -- turns into : 6 - strength solo/opposite : 1 , strenght mutual/opposite : 1
16173 -- turns into : 9 - strength solo : 0 , strenght solo/opposite : 0.0
16176 -- turns into : 3 - strength solo/opposite : 0 , strenght mutual/opposite : 2
16179 -- turns into : 6 - strength solo/opposite : 1.0 , strenght mutual/opposite : 1.0
16182 -- turns into : 9 - strength solo : 0 , strenght solo/opposite : 0.0
16185 -- turns into : 3 - strength solo/opposite : 0 , strenght mutual/opposite : 1
16188 -- turns into : 6 - strength solo/opposite : 1 , strenght mutual/opposite : 1
16191 -- turns into : 9 - strength solo : 1 , strenght solo/opposite : 1.0
16194 -- turns into : 3 - strength solo/opposite : 0.0 , strenght mutual/opposite : 1.0
16197 -- turns into : 6 - strength solo/opposite : 1.0 , strenght mutual/opposite : 1.0
16200 -- turns into : 9 - strength solo : 0 , strenght solo/opposite : 0.0
16203 -- turns into : 3 - strength solo/opposite : 1 , strenght mutual/opposite : 2
16206 -- turns into : 6 - strength solo/opposite : 2 , strenght mutual/opposite : 2
16209 -- turns into : 9 - strength solo : 1 , strenght solo/opposite : 1.0
16212 -- turns into : 3 - strength solo/opposite : 0 , strenght mutual/opposite : 1
16215 -- turns into : 6 - strength solo/opposite : 1 , strenght mutual/opposite : 1
16218 -- turns into : 9 - strength solo : 0 , strenght solo/opposite : 0.0
16221 -- turns into : 3 - strength solo/opposite : 0 , strenght mutual/opposite : 1
16224 -- turns into : 6 - strength solo/opposite : 1 , strenght mutual/opposite : 1
16227 -- turns into : 9 - strength solo : 0 , strenght solo/opposite : 0.0
16230 -- turns into : 3 - strength solo/opposite : 1 , strenght mutual/opposite : 2
16233 -- turns into : 6 - strength solo/opposite : 1 , strenght mutual/opposite : 3
16236 -- turns into : 9 - strength solo : 0 , strenght solo/opposite : 0.0
16239 -- turns into : 3 - strength solo/opposite : 1.0 , strenght mutual/opposite : 2.0
16242 -- turns into : 6 - strength solo/opposite : 1 , strenght mutual/opposite : 1
16245 -- turns into : 9 - strength solo : 0 , strenght solo/opposite : 0.0
16248 -- turns into : 3 - strength solo/opposite : 0 , strenght mutual/opposite : 1
16251 -- turns into : 6 - strength solo/opposite : 1 , strenght mutual/opposite : 1
16254 -- turns into : 9 - strength solo : 0 , strenght solo/opposite : 0.0
16257 -- turns into : 3 - strength solo/opposite : 0 , strenght mutual/opposite : 1
16260 -- turns into : 6 - strength solo/opposite : 2 , strenght mutual/opposite : 2
16263 -- turns into : 9 - strength solo : 0 , strenght solo/opposite : 0.0
16266 -- turns into : 3 - strength solo/opposite : 0 , strenght mutual/opposite : 3
16269 -- turns into : 6 - strength solo/opposite : 2.0 , strenght mutual/opposite : 2.0
16272 -- turns into : 9 - strength solo : 0 , strenght solo/opposite : 0.0
16275 -- turns into : 3 - strength solo/opposite : 0 , strenght mutual/opposite : 1
16278 -- turns into : 6 - strength solo/opposite : 1 , strenght mutual/opposite : 1
16281 -- turns into : 9 - strength solo : 0 , strenght solo/opposite : 0.0
16284 -- turns into : 3 - strength solo/opposite : 0 , strenght mutual/opposite : 1
16287 -- turns into : 6 - strength solo/opposite : 1 , strenght mutual/opposite : 1
16290 -- turns into : 9 - strength solo : 1 , strenght solo/opposite : 1.0
16293 -- turns into : 3 - strength solo/opposite : 1.0 , strenght mutual/opposite : 2.0
16296 -- turns into : 6 - strength solo/opposite : 2.0 , strenght mutual/opposite : 2.0
16299 -- turns into : 9 - strength solo : 2 , strenght solo/opposite : 2.0
16302 -- turns into : 3 - strength solo/opposite : 1 , strenght mutual/opposite : 2
16305 -- turns into : 6 - strength solo/opposite : 1 , strenght mutual/opposite : 2
16308 -- turns into : 9 - strength solo : 0 , strenght solo/opposite : 0.0
16311 -- turns into : 3 - strength solo/opposite : 1 , strenght mutual/opposite : 2
16314 -- turns into : 6 - strength solo/opposite : 1 , strenght mutual/opposite : 2
16317 -- turns into : 9 - strength solo : 0 , strenght solo/opposite : 0.0
16320 -- turns into : 3 - strength solo/opposite : 1 , strenght mutual/opposite : 2
